l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp,pe_util,noc_bw_req,l1_mem_req,l2_mem_req,vcnt
4096.0,16000.0,256.0,64.0,3.0,44.0,46.0,32.0,2.0,1.0,4.0,5.0,3.0,5.0,3.0,1.0,2.0,4.0,6.0,5.0,2.0,5.0,5.0,6.0,4.0,2.0,2.0,1.0,4.0,5.0,4.0,5.0,8.0,2048.0,1.0,2048.0,32.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,3.0,4.0,1.0,6.0,1.0,2.0,5.0,2.0,2.0,4.0,4.0,4.0,6.0,6.0,4.0,2.0,6.0,4.0,2.0,1.0,12.0,256.0,1.0,1.0,1.0,1.0,320.0,8.0,1.0,20375273533.0,54019483.8,2162650000000.0,2128.6933333333336,64768.0,10.0,9437184.0,1.1006617585364622e+18,14.77777777777778,0.138075,10.0,4287886.222222222,8.0
32000.0,32000000.0,256.0,64.0,3.0,44.0,26.0,30.0,4.0,5.0,1.0,5.0,2.0,3.0,3.0,5.0,4.0,1.0,6.0,2.0,3.0,2.0,2.0,5.0,5.0,1.0,2.0,1.0,2.0,6.0,1.0,3.0,256.0,8.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,4.0,128.0,1.0,2.0,5.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,6.0,2.0,4.0,5.0,1.0,5.0,1.0,128.0,1.0,1.0,24.0,12.0,1.0,1.0,1.0,1.0,160.0,160.0,1.0,473095456.0,33317202.0,613446000000.0,664.0685555555555,34320.0,10.0,649216.0,1.5762216872834112e+16,2450.9615,20.681690555555555,10.0,509952.0,12.0
128.0,16000.0,256.0,64.0,2.0,40.0,20.0,2.0,1.0,5.0,6.0,4.0,3.0,1.0,2.0,3.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,6.0,5.0,3.0,6.0,1.0,16.0,2048.0,1.0,1.0,512.0,1.0,1.0,1.0,1.0,16.0,4.0,1.0,6.0,5.0,6.0,2.0,3.0,5.0,2.0,5.0,3.0,5.0,3.0,5.0,3.0,1.0,2.0,3.0,1.0,5.0,8.0,16.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,25753026569.0,187425940.0,16941900.0,0.1774267777777778,40.0,10.0,168.0,4.8267852125398e+18,1.0,0.8933635555555556,10.0,103.55555555555556,134.0
32000.0,16000000.0,256.0,64.0,3.0,46.0,16.0,42.0,6.0,4.0,3.0,1.0,5.0,5.0,1.0,3.0,6.0,4.0,3.0,1.0,3.0,6.0,6.0,5.0,1.0,2.0,4.0,3.0,6.0,6.0,1.0,2.0,128.0,4.0,1.0,4.0,1024.0,1.0,1.0,1.0,1.0,128.0,1.0,1.0,6.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,1.0,2.0,1.0,4.0,5.0,3.0,16.0,2048.0,1.0,24.0,32.0,1.0,1.0,1.0,1.0,5.0,160.0,1.0,10212696968.0,33918820.8,498845000000.0,568.2928888888889,30912.0,10.0,9699328.0,3.464026383422953e+17,15.333333333333334,0.0173611111111111,10.0,5190314.666666667,177.0
1024000.0,32000000.0,256.0,64.0,3.0,40.0,42.0,44.0,1.0,4.0,6.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,6.0,5.0,6.0,5.0,1.0,4.0,3.0,4.0,5.0,2.0,32.0,1.0,512.0,1.0,1.0,1.0,1.0,1.0,64.0,128.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,1.0,2.0,4.0,3.0,5.0,6.0,4.0,5.0,4.0,4.0,1.0,2.0,1.0,32.0,3072.0,1.0,1.0,1.0,1.0,20.0,32.0,1.0,2577244605.0,76128403.0,2813000000000.0,2709.662222222222,73920.0,10.0,209024.0,1.962015159190158e+17,36.44444444444444,13.567597244444446,10.0,192583.11111111112,11.0
64000.0,32000.0,256.0,64.0,3.0,42.0,32.0,16.0,2.0,1.0,5.0,5.0,6.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,6.0,1.0,1.0,4.0,6.0,3.0,3.0,1.0,2.0,2.0,3.0,2048.0,512.0,1.0,1024.0,2.0,1.0,1.0,1.0,1.0,4.0,16.0,1.0,5.0,4.0,5.0,5.0,5.0,6.0,2.0,5.0,3.0,2.0,1.0,1.0,4.0,5.0,6.0,2.0,6.0,5.0,4096.0,1024.0,1.0,4.0,3072.0,1.0,1.0,1.0,1.0,320.0,160.0,1.0,3407163600.0,32505627.4,243927000000.0,357.852,21504.0,10.0,29753344.0,1.1075199047244264e+17,9.77777777777778,0.0,10.0,18437461.33333333,4.0
16000.0,8192000.0,256.0,64.0,3.0,16.0,10.0,8.0,1.0,1.0,6.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,1.0,3.0,5.0,3.0,6.0,1.0,4.0,3.0,2.0,4.0,4.0,5.0,1.0,16.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,64.0,1.0,1.0,2.0,3.0,5.0,3.0,6.0,1.0,1.0,4.0,4.0,5.0,2.0,3.0,4.0,3.0,1.0,6.0,6.0,4.0,1.0,2048.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,160.0,4.0,1.0,29998720724.0,37363236.0,1328030000.0,7.980345555555556,1280.0,10.0,937984.0,1.1208492821089028e+18,1.0,0.061788,10.0,522296.8888888889,31.0
512000.0,4096000.0,256.0,64.0,2.0,16.0,38.0,46.0,6.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,6.0,1.0,5.0,4.0,4.0,1.0,3.0,4.0,6.0,2.0,4.0,5.0,4.0,5.0,2.0,512.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,32.0,16.0,1.0,6.0,3.0,4.0,5.0,5.0,5.0,1.0,4.0,2.0,5.0,5.0,3.0,5.0,4.0,3.0,1.0,4.0,1.0,8.0,4096.0,1.0,3072.0,512.0,1.0,1.0,1.0,1.0,2.0,10.0,1.0,280820376.0,96014470.0,2230110000.0,9.400574444444445,1748.0,10.0,314560.0,2.696281956684072e+16,883.7337333333334,441.9179333333333,10.0,175918.22222222222,1.0
8192.0,1024000.0,256.0,64.0,2.0,18.0,28.0,46.0,1.0,5.0,6.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,6.0,1.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,3.0,6.0,4096.0,512.0,1.0,128.0,32.0,1.0,1.0,1.0,1.0,128.0,64.0,1.0,1.0,5.0,1.0,3.0,1.0,4.0,4.0,6.0,1.0,2.0,3.0,3.0,5.0,2.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,80.0,8.0,1.0,7683969797.0,150023819.0,1341490000.0,6.378656666666667,1288.0,10.0,102400.0,1.1527784940265948e+18,15.88888888888889,2.007092222222222,10.0,45550.0,13.0
256.0,256000.0,256.0,64.0,3.0,40.0,20.0,38.0,4.0,6.0,2.0,2.0,6.0,5.0,5.0,4.0,5.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,1.0,2.0,4.0,5.0,5.0,3.0,1.0,2.0,256.0,512.0,1.0,32.0,512.0,1.0,1.0,1.0,1.0,64.0,128.0,1.0,5.0,2.0,5.0,4.0,4.0,6.0,6.0,4.0,2.0,4.0,6.0,6.0,2.0,1.0,4.0,6.0,6.0,2.0,1.0,4096.0,1.0,3072.0,6.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,26575379152.0,32480787.7,482652000000.0,586.8427777777778,30400.0,10.0,25237504.0,8.63189248283118e+17,2.333333333333333,0.0,10.0,15185920.0,1.0
