l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,o_c_out_2,o_k_out_2,o_x_out_2,o_y_out_2,o_r_out_2,o_s_out_2,o_c_mid_2,o_k_mid_2,o_x_mid_2,o_y_mid_2,o_r_mid_2,o_s_mid_2,o_c_in_2,o_k_in_2,o_x_in_2,o_y_in_2,o_r_in_2,o_s_in_2,t_c_d1_2,t_c_d2_2,t_c_d3_2,t_k_d1_2,t_k_d2_2,t_k_d3_2,t_x_d1_2,t_x_d2_2,t_x_d3_2,t_y_d1_2,t_y_d2_2,t_y_d3_2,o_c_out_3,o_k_out_3,o_x_out_3,o_y_out_3,o_r_out_3,o_s_out_3,o_c_mid_3,o_k_mid_3,o_x_mid_3,o_y_mid_3,o_r_mid_3,o_s_mid_3,o_c_in_3,o_k_in_3,o_x_in_3,o_y_in_3,o_r_in_3,o_s_in_3,t_c_d1_3,t_c_d2_3,t_c_d3_3,t_k_d1_3,t_k_d2_3,t_k_d3_3,t_x_d1_3,t_x_d2_3,t_x_d3_3,t_y_d1_3,t_y_d2_3,t_y_d3_3,o_c_out_4,o_k_out_4,o_x_out_4,o_y_out_4,o_r_out_4,o_s_out_4,o_c_mid_4,o_k_mid_4,o_x_mid_4,o_y_mid_4,o_r_mid_4,o_s_mid_4,o_c_in_4,o_k_in_4,o_x_in_4,o_y_in_4,o_r_in_4,o_s_in_4,t_c_d1_4,t_c_d2_4,t_c_d3_4,t_k_d1_4,t_k_d2_4,t_k_d3_4,t_x_d1_4,t_x_d2_4,t_x_d3_4,t_y_d1_4,t_y_d2_4,t_y_d3_4,o_c_out_5,o_k_out_5,o_x_out_5,o_y_out_5,o_r_out_5,o_s_out_5,o_c_mid_5,o_k_mid_5,o_x_mid_5,o_y_mid_5,o_r_mid_5,o_s_mid_5,o_c_in_5,o_k_in_5,o_x_in_5,o_y_in_5,o_r_in_5,o_s_in_5,t_c_d1_5,t_c_d2_5,t_c_d3_5,t_k_d1_5,t_k_d2_5,t_k_d3_5,t_x_d1_5,t_x_d2_5,t_x_d3_5,t_y_d1_5,t_y_d2_5,t_y_d3_5,o_c_out_6,o_k_out_6,o_x_out_6,o_y_out_6,o_r_out_6,o_s_out_6,o_c_mid_6,o_k_mid_6,o_x_mid_6,o_y_mid_6,o_r_mid_6,o_s_mid_6,o_c_in_6,o_k_in_6,o_x_in_6,o_y_in_6,o_r_in_6,o_s_in_6,t_c_d1_6,t_c_d2_6,t_c_d3_6,t_k_d1_6,t_k_d2_6,t_k_d3_6,t_x_d1_6,t_x_d2_6,t_x_d3_6,t_y_d1_6,t_y_d2_6,t_y_d3_6,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp,pe_util,noc_bw_req,l1_mem_req,l2_mem_req,vcnt
512000.0,8192000.0,256.0,64.0,2.0,22.0,2.0,34.0,1.0,1.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,2.0,5.0,1.0,2.0,4.0,1.0,3.0,3.0,5.0,1.0,3.0,5.0,1.0,1.0,3.0,4.0,128.0,1.0,128.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,5.0,6.0,2.0,6.0,4.0,4.0,3.0,4.0,5.0,4.0,6.0,3.0,6.0,5.0,4.0,64.0,1.0,1.0,1.0,32.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,6.0,6.0,4.0,2.0,4.0,3.0,4.0,1.0,3.0,5.0,2.0,2.0,4.0,8.0,1.0,1.0,1.0,32.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,2.0,6.0,1.0,3.0,6.0,4.0,5.0,5.0,5.0,3.0,3.0,6.0,3.0,1.0,4.0,4.0,128.0,4.0,1.0,512.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,4.0,2.0,6.0,6.0,3.0,4.0,5.0,16.0,64.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,1.0,2.0,2.0,4.0,6.0,6.0,5.0,1.0,2048.0,1.0,32.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,4.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,6.0,4.0,4.0,2.0,2.0,3.0,4.0,32.0,2.0,1.0,1.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7390801023.0,35662065.0,29268600.0,0.3611060034722222,68.0,514.0,136192.0,2.6357122648429248e+17,1.0,0.594476357638889,133.0,10009.916666666666,3483.0
128.0,32000000.0,256.0,64.0,1.0,6.0,18.0,46.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,5.0,6.0,4.0,6.0,1.0,5.0,5.0,2.0,2.0,6.0,6.0,1.0,2.0,3.0,16.0,128.0,1.0,768.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,2.0,4.0,2.0,5.0,4.0,1.0,6.0,4.0,6.0,2.0,4.0,4.0,1.0,1.0,1.0,16.0,1.0,32.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,1.0,6.0,3.0,5.0,6.0,6.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,5.0,128.0,16.0,1.0,2.0,32.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,6.0,4.0,3.0,5.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,1.0,2.0,5.0,2.0,6.0,2.0,6.0,3.0,5.0,1.0,6.0,3.0,5.0,256.0,4.0,1.0,128.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,6.0,1.0,6.0,5.0,5.0,1.0,4.0,5.0,1.0,6.0,3.0,5.0,16.0,1.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,2.0,3.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,5.0,4.0,1.0,6.0,4.0,128.0,4.0,1.0,512.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7239368992.0,76663137.0,19514700.0,0.22284325,46.0,514.0,514.0,5.549927368272479e+17,1.0,1.371110347222222,133.0,133.0,1742.0
128000.0,32000.0,256.0,64.0,3.0,28.0,48.0,40.0,3.0,4.0,1.0,6.0,5.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,5.0,4.0,1.0,1.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,6.0,256.0,256.0,1.0,256.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,2.0,5.0,5.0,6.0,1.0,6.0,5.0,3.0,5.0,5.0,2.0,1.0,6.0,5.0,3.0,5.0,16.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,1.0,1.0,3.0,5.0,6.0,4.0,3.0,4.0,4.0,1.0,16.0,128.0,1.0,64.0,64.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0,1.0,5.0,5.0,6.0,5.0,5.0,4.0,1.0,5.0,1.0,6.0,2.0,4.0,5.0,5.0,4.0,2.0,1.0,4.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,1.0,6.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,5.0,6.0,3.0,1.0,2.0,4.0,128.0,32.0,1.0,64.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,3.0,6.0,4.0,5.0,2.0,1.0,1.0,3.0,6.0,1.0,6.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,4.0,5.0,5.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0,8.0,32.0,1.0,1024.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7302576699.0,15462511.6,1493510000000.0,1518.2702777777777,53760.0,514.0,335872.0,1.129161769181772e+17,1.0,0.2392149652777778,133.0,33783.333333333336,683.0
512.0,256000.0,256.0,64.0,3.0,22.0,22.0,16.0,1.0,2.0,4.0,3.0,6.0,5.0,2.0,2.0,4.0,1.0,5.0,2.0,6.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,6.0,2.0,6.0,2.0,8.0,512.0,1.0,512.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,1.0,6.0,4.0,6.0,3.0,4.0,1.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,1.0,32.0,1.0,16.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,2.0,6.0,1.0,5.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,6.0,5.0,2.0,64.0,1.0,64.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,6.0,3.0,5.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,6.0,4.0,32.0,64.0,1.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,6.0,4.0,4.0,2.0,1.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,2.0,512.0,1.0,2.0,2048.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,3.0,3.0,5.0,1.0,6.0,1.0,6.0,4.0,6.0,2.0,4.0,1.0,2.0,3.0,5.0,4.0,8.0,128.0,1.0,32.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,5.0,5.0,2.0,6.0,3.0,3.0,1.0,4.0,1.0,6.0,2.0,6.0,6.0,2.0,2.0,1.0,512.0,1.0,16.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7386295286.0,11985555.7,33540400000.0,63.37079756944444,7744.0,514.0,2752512.0,8.852885356700043e+16,1.0,0.0060899522569444,133.0,232981.3333333333,163.0
64000.0,256000.0,256.0,64.0,3.0,46.0,46.0,48.0,3.0,1.0,2.0,5.0,5.0,4.0,3.0,4.0,1.0,5.0,5.0,1.0,3.0,1.0,2.0,4.0,5.0,3.0,1.0,4.0,2.0,5.0,1.0,5.0,1.0,32.0,1.0,3.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,5.0,3.0,3.0,6.0,6.0,5.0,3.0,6.0,5.0,4.0,3.0,1.0,1.0,5.0,2.0,2.0,1.0,8.0,16.0,1.0,16.0,64.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,3.0,3.0,5.0,4.0,2.0,6.0,5.0,2.0,6.0,4.0,3.0,2.0,1.0,1.0,6.0,8.0,2.0,1.0,32.0,128.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,4.0,6.0,2.0,4.0,3.0,2.0,6.0,1.0,3.0,5.0,3.0,3.0,1.0,4.0,256.0,8.0,1.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,5.0,5.0,6.0,5.0,4.0,1.0,6.0,4.0,6.0,6.0,6.0,6.0,2.0,2.0,4.0,5.0,1.0,16.0,1.0,32.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,6.0,2.0,2.0,3.0,5.0,5.0,4.0,2.0,2.0,2.0,5.0,3.0,2.0,3.0,256.0,2048.0,1.0,16.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,5.0,2.0,4.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,512.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7249018562.0,12911718.159999998,5296200000000.0,4995.933333333333,101568.0,514.0,1081344.0,9.359728460915248e+16,1.0,0.2335835222222222,133.0,82728.88888888889,5.0
2048000.0,256000.0,256.0,64.0,3.0,26.0,30.0,14.0,4.0,6.0,1.0,5.0,5.0,3.0,4.0,3.0,6.0,2.0,5.0,6.0,2.0,1.0,2.0,1.0,5.0,4.0,5.0,2.0,4.0,3.0,6.0,4.0,512.0,16.0,1.0,768.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,4.0,5.0,4.0,2.0,1.0,3.0,2.0,6.0,4.0,1.0,4.0,4.0,5.0,4.0,3.0,4.0,1.0,1.0,8.0,8.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,6.0,5.0,3.0,1.0,2.0,1.0,32.0,1.0,1.0,4.0,32.0,1.0,4.0,64.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,5.0,4.0,5.0,3.0,1.0,4.0,4.0,2.0,5.0,2.0,2.0,6.0,5.0,6.0,4.0,128.0,256.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,6.0,3.0,3.0,2.0,5.0,3.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,2.0,512.0,1.0,128.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,6.0,5.0,6.0,4.0,6.0,6.0,5.0,4.0,4.0,4.0,1.0,2.0,3.0,4.0,5.0,2048.0,512.0,1.0,512.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,4.0,2.0,6.0,5.0,2.0,1.0,3.0,4.0,1.0,5.0,2.0,1.0,6.0,5.0,2.0,64.0,32.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3347117946.0,11908009.55,64969900000.0,104.992975,10920.0,514.0,2752512.0,3.985751246594438e+16,10.488194444444444,1.2433159722222222,133.0,455976.0,256.0
128.0,8192000.0,256.0,64.0,3.0,26.0,42.0,20.0,3.0,4.0,3.0,2.0,5.0,5.0,3.0,2.0,1.0,3.0,6.0,5.0,2.0,4.0,2.0,3.0,6.0,2.0,6.0,4.0,4.0,4.0,2.0,1.0,32.0,4.0,1.0,16.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,2.0,1.0,5.0,2.0,2.0,4.0,3.0,6.0,3.0,1.0,1.0,6.0,5.0,5.0,4.0,16.0,2.0,1.0,2.0,1.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,4.0,2.0,1.0,6.0,4.0,4.0,4.0,6.0,3.0,1.0,5.0,1.0,4.0,5.0,32.0,64.0,1.0,4.0,16.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,6.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,2.0,6.0,5.0,6.0,2.0,2.0,3.0,32.0,16.0,1.0,4.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,4.0,6.0,1.0,3.0,4.0,6.0,4.0,4.0,2.0,4.0,6.0,5.0,6.0,6.0,3.0,4.0,512.0,32.0,1.0,2048.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0,6.0,5.0,4.0,3.0,3.0,1.0,3.0,1.0,16.0,8.0,1.0,64.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,6.0,4.0,1.0,4.0,3.0,6.0,2.0,6.0,1.0,6.0,6.0,6.0,4.0,2.0,3.0,256.0,32.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,757528220.0,13007682.98,251476000000.0,311.90322222222227,21840.0,514.0,2752512.0,9853686934163696.0,5.207531597222222,0.3599188749999999,133.0,168187.11111111112,417.0
4096.0,32000.0,256.0,64.0,3.0,20.0,4.0,14.0,5.0,1.0,3.0,4.0,5.0,4.0,2.0,6.0,2.0,1.0,5.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,1.0,2.0,5.0,2.0,1.0,1.0,64.0,512.0,1.0,24.0,384.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,4.0,16.0,1.0,4.0,64.0,1.0,4.0,128.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,6.0,3.0,1.0,6.0,5.0,4.0,5.0,3.0,6.0,3.0,1.0,16.0,1.0,2.0,32.0,1.0,16.0,32.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,6.0,2.0,4.0,4.0,3.0,6.0,2.0,64.0,8.0,1.0,64.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,6.0,5.0,3.0,3.0,6.0,6.0,2.0,128.0,128.0,1.0,2.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,6.0,5.0,6.0,5.0,1.0,2.0,6.0,6.0,1.0,2.0,6.0,4.0,4.0,3.0,2048.0,64.0,1.0,2.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,6.0,2.0,6.0,1.0,3.0,2.0,6.0,3.0,3.0,5.0,2.0,1.0,128.0,128.0,1.0,32.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4707727204.0,11798144.28,1070890000.0,6.344034618055554,1120.0,514.0,1081344.0,5.5542444783673e+16,5.423611111111111,0.0,133.0,156643.55555555556,1393.0
2048.0,32000.0,256.0,64.0,3.0,40.0,38.0,46.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,6.0,4.0,1.0,1.0,3.0,2.0,6.0,2.0,4.0,6.0,6.0,4.0,3.0,2.0,64.0,1.0,64.0,192.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,6.0,4.0,3.0,3.0,3.0,6.0,2.0,5.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,128.0,4.0,1.0,4.0,32.0,1.0,1.0,1.0,1.0,5.0,3.0,6.0,3.0,5.0,2.0,4.0,5.0,3.0,1.0,4.0,4.0,6.0,5.0,6.0,5.0,3.0,2.0,1.0,128.0,1.0,128.0,8.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,6.0,4.0,5.0,3.0,2.0,3.0,5.0,6.0,1.0,4.0,1.0,3.0,4.0,4.0,4.0,32.0,1.0,4.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,5.0,2.0,4.0,3.0,4.0,6.0,6.0,4.0,4.0,1.0,1.0,6.0,1.0,3.0,64.0,64.0,1.0,2.0,1024.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,4.0,2.0,3.0,1.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,6.0,32.0,256.0,1.0,256.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,3.0,2.0,5.0,5.0,5.0,2.0,3.0,5.0,2.0,6.0,2.0,1.0,5.0,2.0,2.0,128.0,128.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2801622465.0,12603509.08,2518260000000.0,2469.827986111111,69920.0,514.0,409600.0,3.5310274176359484e+16,100.47916666666669,2.6397230173611117,133.0,83616.0,83.0
16000.0,32000.0,256.0,64.0,2.0,14.0,30.0,46.0,4.0,5.0,6.0,1.0,2.0,1.0,6.0,5.0,6.0,2.0,5.0,1.0,1.0,5.0,2.0,2.0,4.0,6.0,3.0,3.0,6.0,1.0,2.0,2.0,32.0,512.0,1.0,256.0,384.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,1.0,2.0,3.0,4.0,1.0,1.0,64.0,1.0,64.0,32.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,1.0,5.0,4.0,1.0,5.0,3.0,4.0,6.0,5.0,6.0,2.0,5.0,5.0,4.0,2.0,1.0,64.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,4.0,5.0,5.0,6.0,5.0,5.0,1.0,4.0,6.0,5.0,2.0,6.0,2.0,5.0,8.0,8.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,1.0,6.0,6.0,2.0,5.0,6.0,6.0,4.0,512.0,128.0,1.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,5.0,4.0,6.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,3.0,8.0,1.0,1.0,2.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,6.0,4.0,6.0,1.0,5.0,6.0,3.0,5.0,5.0,2.0,2.0,3.0,6.0,3.0,2.0,1.0,8.0,1.0,1.0,128.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2154394250.0,32602777.38,1502030000.0,7.3387846875,1380.0,514.0,90112.0,7.023923612150206e+16,566.433923263889,239.29911007291665,133.0,9296.513888888889,184.0
