l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,o_c_out_2,o_k_out_2,o_x_out_2,o_y_out_2,o_r_out_2,o_s_out_2,o_c_mid_2,o_k_mid_2,o_x_mid_2,o_y_mid_2,o_r_mid_2,o_s_mid_2,o_c_in_2,o_k_in_2,o_x_in_2,o_y_in_2,o_r_in_2,o_s_in_2,t_c_d1_2,t_c_d2_2,t_c_d3_2,t_k_d1_2,t_k_d2_2,t_k_d3_2,t_x_d1_2,t_x_d2_2,t_x_d3_2,t_y_d1_2,t_y_d2_2,t_y_d3_2,o_c_out_3,o_k_out_3,o_x_out_3,o_y_out_3,o_r_out_3,o_s_out_3,o_c_mid_3,o_k_mid_3,o_x_mid_3,o_y_mid_3,o_r_mid_3,o_s_mid_3,o_c_in_3,o_k_in_3,o_x_in_3,o_y_in_3,o_r_in_3,o_s_in_3,t_c_d1_3,t_c_d2_3,t_c_d3_3,t_k_d1_3,t_k_d2_3,t_k_d3_3,t_x_d1_3,t_x_d2_3,t_x_d3_3,t_y_d1_3,t_y_d2_3,t_y_d3_3,o_c_out_4,o_k_out_4,o_x_out_4,o_y_out_4,o_r_out_4,o_s_out_4,o_c_mid_4,o_k_mid_4,o_x_mid_4,o_y_mid_4,o_r_mid_4,o_s_mid_4,o_c_in_4,o_k_in_4,o_x_in_4,o_y_in_4,o_r_in_4,o_s_in_4,t_c_d1_4,t_c_d2_4,t_c_d3_4,t_k_d1_4,t_k_d2_4,t_k_d3_4,t_x_d1_4,t_x_d2_4,t_x_d3_4,t_y_d1_4,t_y_d2_4,t_y_d3_4,o_c_out_5,o_k_out_5,o_x_out_5,o_y_out_5,o_r_out_5,o_s_out_5,o_c_mid_5,o_k_mid_5,o_x_mid_5,o_y_mid_5,o_r_mid_5,o_s_mid_5,o_c_in_5,o_k_in_5,o_x_in_5,o_y_in_5,o_r_in_5,o_s_in_5,t_c_d1_5,t_c_d2_5,t_c_d3_5,t_k_d1_5,t_k_d2_5,t_k_d3_5,t_x_d1_5,t_x_d2_5,t_x_d3_5,t_y_d1_5,t_y_d2_5,t_y_d3_5,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp,pe_util,noc_bw_req,l1_mem_req,l2_mem_req
2048000.0,16000000.0,256.0,64.0,2.0,46.0,2.0,22.0,3.0,4.0,5.0,5.0,2.0,4.0,1.0,6.0,3.0,4.0,3.0,1.0,4.0,5.0,4.0,2.0,4.0,1.0,6.0,6.0,2.0,5.0,1.0,4.0,16.0,24.0,1.0,12.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,3.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,3.0,16.0,8.0,1.0,64.0,32.0,1.0,32.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,6.0,2.0,6.0,3.0,6.0,6.0,2.0,2.0,2.0,1.0,6.0,5.0,3.0,2.0,6.0,8.0,8.0,1.0,16.0,32.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,6.0,3.0,6.0,6.0,3.0,6.0,1.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,128.0,384.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,6.0,6.0,1.0,2.0,4.0,6.0,2.0,6.0,4.0,4.0,6.0,2.0,1.0,6.0,2.0,3.0,12.0,1.0,192.0,768.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,6.0,4.0,2.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,1.0,384.0,48.0,1.0,128.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11023609488.0,25660128.880000003,18659000.0,0.21999385714285713,44.0,514.0,51072.0,2.8286724018487085e+17,1.8571428571428572,0.59877912,78.57142857142857,4441.142857142857
32000.0,16000.0,256.0,64.0,3.0,46.0,8.0,48.0,4.0,3.0,5.0,6.0,5.0,3.0,4.0,1.0,6.0,2.0,6.0,4.0,3.0,5.0,4.0,2.0,4.0,5.0,2.0,2.0,6.0,1.0,2.0,3.0,768.0,256.0,1.0,32.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,6.0,5.0,5.0,4.0,1.0,4.0,5.0,2.0,6.0,3.0,2.0,4.0,2.0,8.0,1.0,1.0,32.0,2.0,1.0,128.0,64.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,5.0,5.0,6.0,1.0,3.0,5.0,5.0,3.0,6.0,6.0,3.0,1.0,3.0,1.0,4.0,16.0,4.0,1.0,128.0,8.0,1.0,8.0,32.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,6.0,4.0,4.0,5.0,2.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,2.0,5.0,4.0,768.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,2.0,5.0,5.0,3.0,1.0,2.0,4.0,1.0,3.0,4.0,2.0,256.0,1.0,8.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,6.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,1.0,1.0,5.0,6.0,4.0,5.0,2.0,96.0,1.0,1.0,6.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10993204320.0,18109073.04,165801000000.0,216.28782142857142,17664.0,514.0,253952.0,1.9907673997452352e+17,2.7142857142857144,0.1341145832142857,78.57142857142857,36608.0
256000.0,1024000.0,256.0,64.0,1.0,48.0,28.0,42.0,6.0,5.0,5.0,4.0,1.0,6.0,4.0,5.0,3.0,6.0,6.0,6.0,1.0,5.0,1.0,6.0,6.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,384.0,384.0,1.0,3.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,6.0,6.0,2.0,6.0,3.0,5.0,3.0,5.0,1.0,2.0,1.0,3.0,4.0,5.0,8.0,1.0,1.0,128.0,16.0,1.0,16.0,16.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,3.0,3.0,2.0,6.0,2.0,1.0,6.0,3.0,5.0,2.0,4.0,2.0,1.0,5.0,1.0,32.0,1.0,128.0,8.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,6.0,6.0,2.0,4.0,2.0,1.0,2.0,6.0,5.0,4.0,5.0,3.0,3.0,4.0,1.0,1.0,6.0,1.0,32.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,6.0,5.0,5.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,8.0,3.0,1.0,768.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,6.0,5.0,4.0,3.0,5.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,5.0,3.0,768.0,12.0,1.0,2.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,276038976.0,40694747.04000001,17797900.0,0.20156957142857143,42.0,514.0,11092.0,1.1233336301500632e+16,33.24202857142858,30.296081428571423,78.57142857142857,1730.2857142857142
128000.0,4096000.0,256.0,64.0,3.0,18.0,26.0,42.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,6.0,4.0,6.0,5.0,3.0,5.0,3.0,1.0,1.0,6.0,5.0,2.0,4.0,5.0,1.0,3.0,16.0,1.0,12.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,3.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,5.0,3.0,1.0,3.0,1.0,2.0,6.0,4.0,1.0,1.0,32.0,4.0,1.0,4.0,16.0,1.0,1.0,1.0,1.0,4.0,6.0,3.0,2.0,1.0,3.0,4.0,5.0,6.0,4.0,2.0,1.0,4.0,6.0,4.0,3.0,6.0,3.0,1.0,32.0,1.0,2.0,1.0,1.0,4.0,8.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,3.0,1.0,6.0,2.0,3.0,6.0,4.0,2.0,1.0,3.0,6.0,4.0,6.0,3.0,256.0,24.0,1.0,32.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,4.0,1.0,5.0,1.0,3.0,6.0,5.0,3.0,1.0,2.0,1.0,4.0,6.0,3.0,96.0,48.0,1.0,256.0,384.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,6.0,6.0,5.0,6.0,2.0,5.0,3.0,4.0,6.0,2.0,5.0,6.0,5.0,2.0,24.0,48.0,1.0,384.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1171357032.0,18810950.54,204452000000.0,257.9603571428571,19656.0,514.0,1302528.0,2.2034339193633196e+16,475.57142857142856,14.362455964285713,78.57142857142857,77613.71428571429
1024000.0,16000.0,256.0,64.0,1.0,46.0,30.0,4.0,4.0,2.0,3.0,4.0,6.0,4.0,3.0,6.0,3.0,3.0,5.0,2.0,1.0,3.0,2.0,1.0,6.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,6.0,1.0,144.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,5.0,1.0,3.0,5.0,4.0,1.0,2.0,5.0,5.0,1.0,2.0,4.0,5.0,2.0,2.0,64.0,1.0,2.0,32.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,6.0,5.0,1.0,4.0,1.0,3.0,4.0,5.0,6.0,6.0,3.0,6.0,1.0,1.0,4.0,16.0,64.0,1.0,32.0,8.0,1.0,4.0,64.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,2.0,4.0,1.0,5.0,3.0,3.0,1.0,6.0,5.0,3.0,2.0,2.0,5.0,5.0,3.0,6.0,1.0,16.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,6.0,2.0,4.0,3.0,4.0,4.0,1.0,2.0,5.0,6.0,5.0,6.0,5.0,5.0,2.0,2.0,32.0,1.0,48.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,4.0,3.0,3.0,1.0,6.0,6.0,3.0,1.0,3.0,6.0,3.0,3.0,1.0,2.0,1.0,1.0,512.0,512.0,1.0,768.0,384.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11173626192.0,67364839.2,2290310.0,0.024513357142857146,4.0,514.0,514.0,7.527095317049884e+17,1.0,1.0000778571428568,78.57142857142857,78.57142857142857
256000.0,256000.0,256.0,64.0,2.0,20.0,18.0,4.0,5.0,1.0,4.0,1.0,5.0,1.0,2.0,3.0,6.0,3.0,2.0,6.0,6.0,4.0,5.0,4.0,4.0,6.0,2.0,4.0,5.0,2.0,6.0,1.0,3.0,64.0,1.0,72.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,4.0,1.0,6.0,4.0,2.0,5.0,5.0,2.0,2.0,5.0,2.0,3.0,2.0,1.0,64.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,3.0,6.0,6.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,6.0,5.0,1.0,2.0,6.0,32.0,128.0,1.0,128.0,32.0,1.0,64.0,32.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,2.0,6.0,3.0,2.0,5.0,2.0,1.0,6.0,5.0,2.0,5.0,2.0,6.0,2.0,48.0,12.0,1.0,64.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,3.0,4.0,3.0,6.0,2.0,2.0,6.0,1.0,4.0,4.0,5.0,5.0,3.0,1.0,32.0,256.0,1.0,24.0,3072.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,6.0,6.0,5.0,3.0,2.0,2.0,3.0,6.0,5.0,6.0,6.0,6.0,4.0,1.0,4.0,1024.0,3.0,1.0,64.0,768.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,771549264.0,18834841.480000004,31097200.0,0.3981326071428571,72.0,514.0,181248.0,1.4532008081450674e+16,10.822557142857145,2.3395714285714284,78.57142857142857,19157.14285714286
1024.0,256000.0,256.0,64.0,1.0,8.0,18.0,6.0,6.0,3.0,4.0,6.0,6.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0,6.0,1.0,5.0,5.0,6.0,1.0,6.0,6.0,6.0,1.0,9.0,576.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,3.0,2.0,5.0,4.0,6.0,5.0,3.0,2.0,5.0,4.0,5.0,6.0,5.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,4.0,1.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,4.0,6.0,2.0,3.0,6.0,6.0,1.0,6.0,6.0,3.0,5.0,2.0,4.0,1.0,1.0,4.0,128.0,1.0,32.0,64.0,1.0,32.0,16.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,2.0,1.0,6.0,4.0,2.0,3.0,3.0,4.0,6.0,4.0,3.0,32.0,192.0,1.0,16.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,5.0,2.0,1.0,2.0,5.0,12.0,48.0,1.0,3072.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,4.0,6.0,4.0,5.0,5.0,1.0,5.0,5.0,6.0,2.0,6.0,4.0,6.0,3.0,5.0,1.0,6.0,8.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1863844320.0,40110663.84,3069880.0,0.03420062857142857,6.0,514.0,1804.0,7.476003296961339e+16,5.844154285714285,5.364052499999999,78.57142857142857,280.0
256000.0,16000000.0,256.0,64.0,2.0,16.0,36.0,2.0,2.0,6.0,2.0,3.0,5.0,4.0,5.0,2.0,6.0,3.0,1.0,6.0,5.0,3.0,2.0,4.0,5.0,1.0,4.0,6.0,3.0,6.0,1.0,3.0,96.0,128.0,1.0,96.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,2.0,6.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,6.0,4.0,3.0,2.0,4.0,4.0,16.0,64.0,1.0,2.0,4.0,1.0,8.0,16.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,3.0,5.0,3.0,4.0,4.0,6.0,4.0,1.0,3.0,2.0,1.0,8.0,1.0,16.0,1.0,1.0,4.0,64.0,1.0,1.0,1.0,1.0,6.0,5.0,2.0,6.0,6.0,3.0,4.0,5.0,4.0,6.0,4.0,5.0,3.0,4.0,5.0,2.0,4.0,4.0,12.0,12.0,1.0,128.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,2.0,1.0,3.0,3.0,5.0,5.0,6.0,2.0,2.0,2.0,3.0,5.0,4.0,1.0,16.0,96.0,1.0,1024.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,6.0,6.0,1.0,4.0,3.0,6.0,6.0,6.0,4.0,1.0,4.0,6.0,3.0,2.0,4.0,16.0,1536.0,1.0,6.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,388142364.0,20913360.559999995,31167400.0,0.500834,72.0,514.0,856064.0,8117361206942762.0,31.714285714285715,12.856949285714283,78.57142857142857,48925.71428571428
256000.0,32000000.0,256.0,64.0,1.0,26.0,2.0,14.0,2.0,6.0,2.0,3.0,5.0,6.0,1.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0,6.0,6.0,2.0,5.0,2.0,4.0,2.0,6.0,768.0,6.0,1.0,288.0,576.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,1.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,5.0,5.0,4.0,1.0,5.0,2.0,2.0,16.0,1.0,16.0,64.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,4.0,6.0,6.0,2.0,2.0,5.0,6.0,1.0,5.0,1.0,5.0,2.0,4.0,2.0,4.0,64.0,2.0,1.0,16.0,32.0,1.0,32.0,32.0,1.0,1.0,1.0,1.0,4.0,6.0,4.0,1.0,4.0,5.0,2.0,4.0,6.0,1.0,5.0,5.0,4.0,6.0,1.0,6.0,2.0,2.0,192.0,64.0,1.0,192.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,3.0,3.0,4.0,5.0,1.0,5.0,4.0,2.0,3.0,6.0,5.0,5.0,1.0,4.0,3.0,3.0,192.0,192.0,1.0,256.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,2.0,5.0,1.0,2.0,3.0,4.0,4.0,6.0,2.0,5.0,3.0,1.0,3.0,3.0,12.0,1.0,48.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,802160976.0,67968427.68,6228620.0,0.07128174285714285,14.0,514.0,3868.0,5.452162028497422e+16,12.966228571428573,13.391799999999998,78.57142857142857,602.2857142857143
256000.0,32000.0,256.0,64.0,1.0,8.0,16.0,44.0,5.0,1.0,6.0,2.0,5.0,6.0,1.0,1.0,3.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,2.0,1.0,2.0,5.0,5.0,2.0,5.0,4.0,384.0,768.0,1.0,4.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,5.0,1.0,3.0,6.0,3.0,4.0,5.0,1.0,2.0,3.0,2.0,2.0,5.0,6.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,5.0,5.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,8.0,32.0,1.0,8.0,1.0,1.0,8.0,64.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,3.0,2.0,6.0,3.0,5.0,4.0,5.0,2.0,5.0,1.0,5.0,2.0,5.0,4.0,5.0,128.0,128.0,1.0,4.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,1.0,1.0,5.0,6.0,4.0,6.0,6.0,5.0,2.0,2.0,4.0,4.0,1.0,3.0,5.0,256.0,192.0,1.0,3.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,6.0,6.0,6.0,2.0,6.0,1.0,5.0,6.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,6.0,12.0,1.0,48.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10879893840.0,99767532.48,18653700.0,0.20545185714285716,44.0,514.0,514.0,1.085460162061152e+18,32.142871428571425,32.150350357142855,78.57142857142857,226.0
