l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,o_c_out_2,o_k_out_2,o_x_out_2,o_y_out_2,o_r_out_2,o_s_out_2,o_c_mid_2,o_k_mid_2,o_x_mid_2,o_y_mid_2,o_r_mid_2,o_s_mid_2,o_c_in_2,o_k_in_2,o_x_in_2,o_y_in_2,o_r_in_2,o_s_in_2,t_c_d1_2,t_c_d2_2,t_c_d3_2,t_k_d1_2,t_k_d2_2,t_k_d3_2,t_x_d1_2,t_x_d2_2,t_x_d3_2,t_y_d1_2,t_y_d2_2,t_y_d3_2,o_c_out_3,o_k_out_3,o_x_out_3,o_y_out_3,o_r_out_3,o_s_out_3,o_c_mid_3,o_k_mid_3,o_x_mid_3,o_y_mid_3,o_r_mid_3,o_s_mid_3,o_c_in_3,o_k_in_3,o_x_in_3,o_y_in_3,o_r_in_3,o_s_in_3,t_c_d1_3,t_c_d2_3,t_c_d3_3,t_k_d1_3,t_k_d2_3,t_k_d3_3,t_x_d1_3,t_x_d2_3,t_x_d3_3,t_y_d1_3,t_y_d2_3,t_y_d3_3,o_c_out_4,o_k_out_4,o_x_out_4,o_y_out_4,o_r_out_4,o_s_out_4,o_c_mid_4,o_k_mid_4,o_x_mid_4,o_y_mid_4,o_r_mid_4,o_s_mid_4,o_c_in_4,o_k_in_4,o_x_in_4,o_y_in_4,o_r_in_4,o_s_in_4,t_c_d1_4,t_c_d2_4,t_c_d3_4,t_k_d1_4,t_k_d2_4,t_k_d3_4,t_x_d1_4,t_x_d2_4,t_x_d3_4,t_y_d1_4,t_y_d2_4,t_y_d3_4,o_c_out_5,o_k_out_5,o_x_out_5,o_y_out_5,o_r_out_5,o_s_out_5,o_c_mid_5,o_k_mid_5,o_x_mid_5,o_y_mid_5,o_r_mid_5,o_s_mid_5,o_c_in_5,o_k_in_5,o_x_in_5,o_y_in_5,o_r_in_5,o_s_in_5,t_c_d1_5,t_c_d2_5,t_c_d3_5,t_k_d1_5,t_k_d2_5,t_k_d3_5,t_x_d1_5,t_x_d2_5,t_x_d3_5,t_y_d1_5,t_y_d2_5,t_y_d3_5,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp,pe_util,noc_bw_req,l1_mem_req,l2_mem_req
2048.0,4096000.0,256.0,64.0,1.0,6.0,32.0,16.0,1.0,4.0,1.0,6.0,2.0,1.0,1.0,5.0,6.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,1.0,3.0,5.0,4.0,32.0,1.0,1.0,96.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,4.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,4.0,4.0,2.0,64.0,8.0,1.0,128.0,64.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,1.0,4.0,1.0,2.0,3.0,5.0,1.0,5.0,6.0,1.0,2.0,1.0,4.0,4.0,32.0,8.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,6.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,32.0,1.0,512.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,3.0,3.0,5.0,6.0,5.0,5.0,2.0,1.0,6.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,64.0,512.0,1.0,2048.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,6.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0,4.0,128.0,1.0,512.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2516582520.0,21893282.400000002,7028100.0,0.08016964000000001,16.0,514.0,514.0,5.5096251793263656e+16,1.0,1.0008529999999995,107.6,107.6
16000.0,2048000.0,256.0,64.0,3.0,36.0,42.0,10.0,4.0,3.0,6.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,6.0,2.0,3.0,6.0,5.0,4.0,4.0,6.0,4.0,5.0,4.0,2.0,16.0,4.0,1.0,1.0,1536.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,3.0,5.0,6.0,3.0,5.0,6.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0,64.0,16.0,1.0,4.0,128.0,1.0,64.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,5.0,5.0,4.0,6.0,2.0,3.0,5.0,5.0,5.0,1.0,1.0,4.0,2.0,2.0,128.0,1.0,1.0,32.0,32.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,6.0,6.0,2.0,2.0,1.0,3.0,6.0,5.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,8.0,1.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,6.0,1.0,2.0,6.0,5.0,3.0,6.0,512.0,32.0,1.0,256.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,2.0,2.0,1.0,1.0,6.0,1.0,4.0,2.0,3.0,1.0,5.0,4.0,6.0,5.0,4.0,16.0,1.0,1.0,512.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1279401096.0,4389274.9,122320000000.0,170.02855,15120.0,514.0,458752.0,5615643117705291.0,8.7,0.019140625,107.6,97587.2
2048000.0,32000000.0,256.0,64.0,3.0,46.0,26.0,6.0,2.0,4.0,3.0,2.0,6.0,3.0,2.0,6.0,3.0,2.0,1.0,4.0,2.0,4.0,5.0,3.0,1.0,2.0,5.0,4.0,3.0,3.0,5.0,5.0,16.0,2.0,1.0,8.0,384.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,5.0,2.0,5.0,3.0,3.0,3.0,1.0,6.0,3.0,4.0,2.0,4.0,5.0,2.0,2.0,4.0,64.0,1.0,128.0,64.0,1.0,32.0,4.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,5.0,6.0,5.0,5.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,4.0,4.0,2.0,1.0,8.0,4.0,1.0,64.0,8.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,4.0,1.0,5.0,6.0,4.0,4.0,5.0,6.0,6.0,3.0,5.0,5.0,1.0,3.0,6.0,16.0,8.0,1.0,2.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,3.0,6.0,1.0,2.0,4.0,1.0,2.0,5.0,5.0,4.0,1.0,2.0,2.0,128.0,2.0,1.0,256.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,6.0,2.0,6.0,6.0,1.0,5.0,5.0,1.0,3.0,4.0,6.0,3.0,4.0,5.0,2.0,256.0,1.0,4.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,495630000.0,4204591.119999999,29003000000.0,55.69126500000001,7176.0,514.0,163840.0,2083921496805599.5,19.166665000000002,1.6742190000000001,107.6,36966.4
512.0,128000.0,256.0,64.0,2.0,10.0,8.0,48.0,2.0,2.0,2.0,6.0,2.0,6.0,2.0,2.0,6.0,1.0,1.0,5.0,3.0,2.0,3.0,2.0,6.0,5.0,3.0,5.0,3.0,6.0,3.0,6.0,32.0,2.0,1.0,8.0,384.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,3.0,5.0,4.0,6.0,5.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,6.0,8.0,16.0,1.0,8.0,64.0,1.0,128.0,64.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,2.0,2.0,6.0,2.0,6.0,6.0,2.0,3.0,2.0,1.0,3.0,5.0,2.0,3.0,5.0,64.0,8.0,1.0,1.0,1.0,1.0,32.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,6.0,3.0,1.0,6.0,5.0,2.0,5.0,2.0,3.0,1.0,3.0,3.0,3.0,6.0,16.0,64.0,1.0,256.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,2.0,3.0,6.0,3.0,2.0,3.0,4.0,5.0,4.0,6.0,5.0,1.0,3.0,6.0,8.0,8.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,5.0,1.0,5.0,2.0,5.0,5.0,6.0,2.0,4.0,6.0,5.0,6.0,1.0,1.0,512.0,1.0,256.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2521215744.0,9750000.54,223592000.0,1.8543235,384.0,514.0,77824.0,2.45818548654565e+16,1.0,0.6790932000000001,107.6,5247.2
32000.0,64000.0,256.0,64.0,1.0,30.0,34.0,20.0,3.0,5.0,3.0,6.0,5.0,6.0,2.0,1.0,5.0,2.0,2.0,5.0,1.0,5.0,5.0,3.0,2.0,1.0,6.0,4.0,5.0,1.0,5.0,3.0,256.0,128.0,1.0,32.0,1536.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,2.0,3.0,5.0,1.0,6.0,4.0,6.0,6.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,3.0,2.0,6.0,1.0,5.0,6.0,6.0,4.0,4.0,6.0,6.0,2.0,1.0,1.0,8.0,8.0,1.0,32.0,8.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,5.0,3.0,6.0,4.0,3.0,6.0,1.0,6.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,2.0,4.0,6.0,1.0,3.0,4.0,6.0,1.0,4.0,2.0,1.0,3.0,5.0,5.0,32.0,8.0,1.0,2.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,4.0,5.0,6.0,3.0,1.0,4.0,3.0,3.0,5.0,4.0,1.0,4.0,128.0,64.0,1.0,64.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2516582520.0,15797298.0,8639980.0,0.09855491999999999,20.0,514.0,514.0,3.975520401003096e+16,1.0,1.7906290000000002,107.6,107.6
512.0,8192000.0,256.0,64.0,3.0,6.0,18.0,42.0,6.0,6.0,1.0,3.0,5.0,3.0,1.0,4.0,5.0,3.0,6.0,3.0,1.0,4.0,5.0,3.0,3.0,1.0,4.0,6.0,3.0,3.0,6.0,6.0,1.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,1.0,6.0,5.0,5.0,4.0,5.0,3.0,6.0,1.0,5.0,5.0,4.0,4.0,1.0,8.0,8.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,5.0,5.0,5.0,2.0,2.0,5.0,2.0,1.0,4.0,8.0,1.0,1.0,4.0,128.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,3.0,5.0,4.0,2.0,6.0,2.0,6.0,5.0,6.0,1.0,5.0,1.0,6.0,3.0,4.0,2.0,16.0,1.0,4.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,1.0,4.0,1.0,1.0,6.0,6.0,16.0,256.0,1.0,1024.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,5.0,4.0,1.0,4.0,6.0,6.0,6.0,6.0,4.0,3.0,6.0,4.0,4.0,5.0,2048.0,8.0,1.0,32.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,454640232.0,4487452.46,12230900000.0,30.28236,4536.0,514.0,1441792.0,2040176427503370.8,42.712077,1.2781798499999997,107.6,117236.8
512.0,16000.0,256.0,64.0,3.0,30.0,44.0,20.0,5.0,6.0,2.0,2.0,6.0,3.0,1.0,1.0,5.0,1.0,2.0,6.0,1.0,2.0,6.0,2.0,2.0,6.0,4.0,6.0,1.0,6.0,3.0,6.0,128.0,512.0,1.0,64.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,2.0,4.0,1.0,4.0,2.0,6.0,3.0,4.0,3.0,2.0,6.0,6.0,3.0,32.0,32.0,1.0,1.0,64.0,1.0,128.0,2.0,1.0,1.0,1.0,1.0,6.0,5.0,3.0,4.0,3.0,6.0,4.0,2.0,1.0,6.0,2.0,4.0,3.0,1.0,6.0,1.0,3.0,3.0,32.0,4.0,1.0,1.0,4.0,1.0,64.0,64.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,4.0,1.0,5.0,1.0,2.0,5.0,4.0,4.0,1.0,1.0,6.0,4.0,3.0,6.0,2.0,16.0,4.0,1.0,256.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,1.0,2.0,4.0,6.0,6.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,1.0,6.0,2.0,4.0,5.0,4.0,3.0,6.0,4.0,6.0,4.0,1.0,3.0,1.0,2048.0,1.0,1.0,8.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,284451858.0,5685836.09,365330000000.0,427.6953,26400.0,514.0,2719744.0,1617346640083955.2,62.16507,1.5699325,107.6,273150.4
256.0,32000000.0,256.0,64.0,3.0,34.0,10.0,18.0,3.0,5.0,2.0,1.0,1.0,6.0,6.0,5.0,3.0,1.0,1.0,4.0,3.0,4.0,3.0,2.0,6.0,1.0,5.0,6.0,3.0,5.0,5.0,5.0,1.0,4.0,1.0,256.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,5.0,6.0,3.0,5.0,6.0,5.0,2.0,1.0,3.0,1.0,4.0,1.0,5.0,5.0,3.0,1.0,16.0,1.0,64.0,4.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,4.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,6.0,5.0,4.0,3.0,6.0,16.0,8.0,1.0,1.0,64.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,6.0,4.0,5.0,5.0,6.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,64.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,6.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,4.0,5.0,4.0,3.0,3.0,64.0,512.0,1.0,2048.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,6.0,1.0,5.0,1.0,1.0,2.0,6.0,4.0,6.0,5.0,6.0,5.0,4.0,8.0,1.0,1.0,64.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,514662618.0,5283207.300000001,21441900000.0,45.062385000000006,6120.0,514.0,2752512.0,2719069300454712.0,36.507160000000006,2.1324886500000004,107.6,146611.2
32000.0,64000.0,256.0,64.0,1.0,6.0,2.0,22.0,5.0,5.0,5.0,6.0,5.0,4.0,1.0,6.0,3.0,5.0,4.0,1.0,2.0,5.0,2.0,6.0,1.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,8.0,16.0,1.0,2.0,1536.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,5.0,1.0,3.0,2.0,6.0,1.0,4.0,5.0,2.0,6.0,2.0,1.0,3.0,3.0,3.0,1.0,16.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,6.0,1.0,3.0,6.0,1.0,5.0,1.0,2.0,4.0,2.0,6.0,1.0,1.0,4.0,6.0,8.0,128.0,1.0,16.0,64.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,4.0,3.0,5.0,1.0,2.0,4.0,4.0,5.0,1.0,6.0,2.0,4.0,2.0,1.0,512.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,6.0,6.0,3.0,2.0,3.0,5.0,2.0,5.0,3.0,1.0,1.0,1.0,5.0,256.0,32.0,1.0,256.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,6.0,3.0,5.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,16.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2516582520.0,19087429.200000003,9452030.0,0.10774740000000001,22.0,514.0,514.0,4.803509067645759e+16,1.0,1.0096669999999999,107.6,107.6
512000.0,2048000.0,256.0,64.0,2.0,12.0,44.0,40.0,1.0,4.0,1.0,2.0,5.0,3.0,1.0,3.0,4.0,1.0,5.0,3.0,2.0,5.0,6.0,2.0,5.0,3.0,5.0,3.0,2.0,2.0,1.0,5.0,8.0,16.0,1.0,16.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,64.0,64.0,1.0,16.0,8.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,5.0,3.0,5.0,4.0,6.0,4.0,1.0,6.0,3.0,5.0,2.0,1.0,1.0,1.0,64.0,2.0,1.0,1.0,64.0,1.0,8.0,32.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,1.0,6.0,3.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,6.0,4.0,1.0,3.0,128.0,128.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,4.0,4.0,5.0,5.0,1.0,3.0,3.0,3.0,2.0,5.0,6.0,2.0,1.0,1.0,3.0,128.0,16.0,1.0,512.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,4.0,4.0,1.0,1.0,5.0,2.0,4.0,2.0,5.0,1.0,4.0,6.0,3.0,1.0,2.0,1024.0,32.0,1.0,256.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,432674490.0,6091266.4799999995,2256250000.0,9.492404,1760.0,514.0,151552.0,2635535617688095.0,6.61923,0.8924014000000001,107.6,10590.4
