l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp,pe_util,noc_bw_req,l1_mem_req,l2_mem_req
256.0,32000.0,256.0,64.0,1.0,6.0,6.0,24.0,4.0,3.0,4.0,6.0,5.0,2.0,6.0,4.0,6.0,2.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,6.0,2.0,6.0,6.0,5.0,4.0,2.0,2048.0,256.0,1.0,1024.0,256.0,1.0,1.0,1.0,1.0,4.0,128.0,1.0,6.0,5.0,6.0,1.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,3.0,5.0,6.0,1.0,2.0,3.0,6.0,4096.0,32.0,1.0,1024.0,96.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1082130441.0,257517500.0,10266900.0,0.10915699999999999,24.0,10.0,194.0,2.786675258402175e+17,22.179855555555555,22.441755555555556,10.0,194.0
8192.0,8192000.0,256.0,64.0,2.0,18.0,30.0,26.0,3.0,5.0,3.0,1.0,1.0,1.0,6.0,4.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,3.0,1.0,5.0,1.0,5.0,1.0,5.0,6.0,2.0,2.0,8.0,1.0,256.0,512.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,5.0,3.0,6.0,6.0,2.0,3.0,5.0,1.0,2.0,3.0,6.0,6.0,3.0,6.0,3.0,4.0,1.0,3.0,16.0,1024.0,1.0,3072.0,8.0,1.0,1.0,1.0,1.0,32.0,32.0,1.0,311724697.0,48271890.0,610756000.0,3.666102222222222,780.0,10.0,24064.0,1.504754028386733e+16,269.67499999999995,19.451375555555558,10.0,20199.11111111111
512000.0,128000.0,256.0,64.0,2.0,32.0,36.0,34.0,4.0,2.0,3.0,6.0,6.0,4.0,2.0,1.0,6.0,3.0,5.0,2.0,3.0,5.0,2.0,3.0,6.0,6.0,2.0,3.0,2.0,4.0,3.0,2.0,64.0,512.0,1.0,1024.0,2.0,1.0,1.0,1.0,1.0,32.0,4.0,1.0,3.0,4.0,1.0,5.0,3.0,3.0,1.0,4.0,3.0,6.0,4.0,2.0,2.0,1.0,6.0,3.0,6.0,5.0,4096.0,8.0,1.0,32.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,783286419.0,100306520.0,1234940000.0,5.907464444444445,1224.0,10.0,17152.0,7.856873485315187e+16,32.0,15.756477777777778,10.0,8440.888888888889
128000.0,8192000.0,256.0,64.0,3.0,28.0,34.0,48.0,2.0,1.0,5.0,4.0,5.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,6.0,3.0,6.0,1.0,1.0,2.0,64.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,32.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,6.0,1.0,5.0,4.0,6.0,1.0,6.0,3.0,6.0,5.0,1.0,2.0,6.0,16.0,2048.0,1.0,4.0,128.0,1.0,1.0,1.0,1.0,32.0,20.0,1.0,7099919336.0,35808868.0,1081700000000.0,1110.8755555555556,45696.0,10.0,663552.0,2.5424007431347165e+17,6.0,0.14516195555555556,10.0,371143.1111111111
2048000.0,4096000.0,256.0,64.0,1.0,12.0,32.0,44.0,1.0,5.0,3.0,5.0,4.0,5.0,1.0,3.0,4.0,5.0,4.0,1.0,6.0,5.0,2.0,6.0,4.0,6.0,2.0,1.0,5.0,2.0,1.0,4.0,4096.0,1024.0,1.0,1.0,256.0,1.0,1.0,1.0,1.0,32.0,2.0,1.0,2.0,4.0,1.0,4.0,3.0,4.0,2.0,1.0,4.0,6.0,6.0,2.0,2.0,2.0,5.0,4.0,3.0,1.0,1024.0,512.0,1.0,1536.0,64.0,1.0,1.0,1.0,1.0,16.0,8.0,1.0,557318153.0,199589160.0,18651400.0,0.195187,44.0,10.0,268.0,1.1123466201002147e+17,43.747388888888885,43.747388888888885,10.0,268.0
256.0,512000.0,256.0,64.0,3.0,34.0,26.0,38.0,1.0,2.0,4.0,5.0,4.0,6.0,4.0,6.0,3.0,6.0,3.0,6.0,6.0,5.0,5.0,6.0,2.0,6.0,4.0,3.0,6.0,1.0,2.0,1.0,1.0,1024.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,4.0,16.0,1.0,4.0,5.0,4.0,3.0,1.0,1.0,4.0,5.0,3.0,2.0,6.0,2.0,6.0,3.0,4.0,1.0,3.0,3.0,32.0,4.0,1.0,384.0,1024.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,9399059845.0,36657464.0,587971000000.0,637.8445555555555,33592.0,10.0,99328.0,3.4454569790193306e+17,3.4444444444444446,0.15847461111111114,10.0,86421.33333333333
2048.0,32000.0,256.0,64.0,2.0,10.0,28.0,42.0,1.0,3.0,1.0,2.0,5.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,2.0,5.0,6.0,5.0,5.0,3.0,4.0,5.0,6.0,3.0,2.0,1024.0,512.0,1.0,2048.0,2.0,1.0,1.0,1.0,1.0,32.0,4.0,1.0,2.0,2.0,1.0,4.0,5.0,4.0,2.0,2.0,5.0,6.0,6.0,6.0,1.0,4.0,3.0,6.0,1.0,1.0,4.0,256.0,1.0,512.0,1.0,1.0,1.0,1.0,1.0,16.0,320.0,1.0,22595764277.0,64386170.0,1157770000.0,5.633086666666666,1176.0,10.0,6160.0,1.454854720018849e+18,1.4444444444444444,0.3594104444444444,10.0,2831.1111111111113
1024000.0,512000.0,256.0,64.0,2.0,2.0,38.0,30.0,3.0,3.0,6.0,5.0,5.0,6.0,1.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,1.0,5.0,6.0,4.0,4.0,5.0,5.0,2.0,3.0,1.0,512.0,8.0,1.0,128.0,256.0,1.0,1.0,1.0,1.0,1.0,32.0,1.0,1.0,6.0,5.0,6.0,6.0,4.0,1.0,4.0,6.0,3.0,1.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,256.0,512.0,1.0,12.0,16.0,1.0,1.0,1.0,1.0,20.0,5.0,1.0,24431034473.0,59962238.0,1101440000.0,5.454264444444444,1140.0,10.0,8824.0,1.4649395036562307e+18,1.0,0.2086382222222222,10.0,6054.222222222223
16000.0,32000.0,256.0,64.0,2.0,28.0,36.0,32.0,3.0,6.0,5.0,3.0,2.0,6.0,4.0,3.0,6.0,1.0,2.0,3.0,3.0,4.0,6.0,5.0,6.0,5.0,1.0,6.0,1.0,6.0,4.0,1.0,512.0,32.0,1.0,16.0,256.0,1.0,1.0,1.0,1.0,2.0,32.0,1.0,6.0,3.0,2.0,5.0,5.0,5.0,2.0,1.0,3.0,4.0,4.0,3.0,5.0,6.0,4.0,6.0,2.0,3.0,1024.0,1.0,1.0,128.0,1536.0,1.0,1.0,1.0,1.0,160.0,4.0,1.0,974848357.0,147340210.0,1120070000.0,5.613751111111112,1152.0,10.0,39296.0,1.4363436163853498e+17,27.555555555555557,19.87008888888889,10.0,33967.11111111111
1024.0,256000.0,256.0,64.0,2.0,24.0,46.0,32.0,5.0,5.0,3.0,4.0,5.0,6.0,1.0,1.0,4.0,6.0,6.0,1.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,2.0,4.0,6.0,2.0,2.0,32.0,2.0,1.0,4.0,8.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,6.0,4.0,16.0,1024.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.0,10.0,1.0,3800039433.0,141526580.0,1671040000.0,7.228893333333334,1472.0,10.0,372.0,5.378065848176291e+17,9.777777777777779,8.251757777777776,10.0,224.44444444444446
