l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,o_c_out_2,o_k_out_2,o_x_out_2,o_y_out_2,o_r_out_2,o_s_out_2,o_c_mid_2,o_k_mid_2,o_x_mid_2,o_y_mid_2,o_r_mid_2,o_s_mid_2,o_c_in_2,o_k_in_2,o_x_in_2,o_y_in_2,o_r_in_2,o_s_in_2,t_c_d1_2,t_c_d2_2,t_c_d3_2,t_k_d1_2,t_k_d2_2,t_k_d3_2,t_x_d1_2,t_x_d2_2,t_x_d3_2,t_y_d1_2,t_y_d2_2,t_y_d3_2,o_c_out_3,o_k_out_3,o_x_out_3,o_y_out_3,o_r_out_3,o_s_out_3,o_c_mid_3,o_k_mid_3,o_x_mid_3,o_y_mid_3,o_r_mid_3,o_s_mid_3,o_c_in_3,o_k_in_3,o_x_in_3,o_y_in_3,o_r_in_3,o_s_in_3,t_c_d1_3,t_c_d2_3,t_c_d3_3,t_k_d1_3,t_k_d2_3,t_k_d3_3,t_x_d1_3,t_x_d2_3,t_x_d3_3,t_y_d1_3,t_y_d2_3,t_y_d3_3,o_c_out_4,o_k_out_4,o_x_out_4,o_y_out_4,o_r_out_4,o_s_out_4,o_c_mid_4,o_k_mid_4,o_x_mid_4,o_y_mid_4,o_r_mid_4,o_s_mid_4,o_c_in_4,o_k_in_4,o_x_in_4,o_y_in_4,o_r_in_4,o_s_in_4,t_c_d1_4,t_c_d2_4,t_c_d3_4,t_k_d1_4,t_k_d2_4,t_k_d3_4,t_x_d1_4,t_x_d2_4,t_x_d3_4,t_y_d1_4,t_y_d2_4,t_y_d3_4,o_c_out_5,o_k_out_5,o_x_out_5,o_y_out_5,o_r_out_5,o_s_out_5,o_c_mid_5,o_k_mid_5,o_x_mid_5,o_y_mid_5,o_r_mid_5,o_s_mid_5,o_c_in_5,o_k_in_5,o_x_in_5,o_y_in_5,o_r_in_5,o_s_in_5,t_c_d1_5,t_c_d2_5,t_c_d3_5,t_k_d1_5,t_k_d2_5,t_k_d3_5,t_x_d1_5,t_x_d2_5,t_x_d3_5,t_y_d1_5,t_y_d2_5,t_y_d3_5,o_c_out_6,o_k_out_6,o_x_out_6,o_y_out_6,o_r_out_6,o_s_out_6,o_c_mid_6,o_k_mid_6,o_x_mid_6,o_y_mid_6,o_r_mid_6,o_s_mid_6,o_c_in_6,o_k_in_6,o_x_in_6,o_y_in_6,o_r_in_6,o_s_in_6,t_c_d1_6,t_c_d2_6,t_c_d3_6,t_k_d1_6,t_k_d2_6,t_k_d3_6,t_x_d1_6,t_x_d2_6,t_x_d3_6,t_y_d1_6,t_y_d2_6,t_y_d3_6,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp,pe_util,noc_bw_req,l1_mem_req,l2_mem_req
8192.0,4096000.0,256.0,64.0,3.0,36.0,42.0,40.0,2.0,3.0,4.0,3.0,1.0,4.0,5.0,1.0,4.0,5.0,4.0,5.0,4.0,2.0,6.0,6.0,5.0,3.0,6.0,3.0,1.0,6.0,1.0,6.0,128.0,16.0,1.0,96.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,5.0,4.0,5.0,4.0,1.0,5.0,6.0,1.0,4.0,6.0,5.0,32.0,4.0,1.0,1.0,128.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0,1.0,5.0,5.0,4.0,2.0,3.0,3.0,5.0,4.0,1.0,2.0,4.0,5.0,2.0,4.0,1.0,1.0,2.0,1.0,64.0,64.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,4.0,3.0,4.0,1.0,6.0,4.0,4.0,5.0,2.0,2.0,3.0,6.0,5.0,5.0,16.0,8.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,2.0,4.0,5.0,5.0,1.0,5.0,2.0,6.0,1.0,1.0,1.0,3.0,2.0,4.0,6.0,32.0,64.0,1.0,512.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,256.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,6.0,2.0,6.0,4.0,6.0,6.0,4.0,3.0,6.0,2.0,1.0,1.0,6.0,5.0,2.0,1.0,1.0,128.0,1.0,8.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1682352680.0,14629725.700000001,1887320000000.0,1886.128923611111,60480.0,514.0,212992.0,2.4612358239059876e+16,8.430555555555555,0.16809754166666668,133.0,40798.88888888889
32000.0,16000000.0,256.0,64.0,3.0,34.0,36.0,44.0,5.0,1.0,5.0,3.0,5.0,5.0,6.0,1.0,2.0,5.0,2.0,5.0,3.0,5.0,2.0,2.0,4.0,5.0,4.0,3.0,1.0,6.0,3.0,1.0,128.0,4.0,1.0,512.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,2.0,3.0,5.0,3.0,6.0,6.0,5.0,1.0,5.0,3.0,1.0,4.0,6.0,2.0,6.0,32.0,32.0,1.0,16.0,2.0,1.0,32.0,128.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,1.0,3.0,6.0,4.0,5.0,4.0,1.0,6.0,5.0,6.0,2.0,128.0,4.0,1.0,128.0,32.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,5.0,2.0,4.0,3.0,2.0,6.0,5.0,3.0,1.0,2.0,5.0,3.0,1.0,6.0,1.0,1.0,128.0,1.0,256.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,5.0,4.0,6.0,6.0,5.0,6.0,1.0,6.0,1.0,6.0,2.0,6.0,3.0,6.0,3.0,512.0,64.0,1.0,64.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,1.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,6.0,6.0,1.0,1.0,32.0,1.0,1.0,64.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,5.0,2.0,3.0,5.0,4.0,2.0,2.0,1.0,2.0,5.0,4.0,1.0,2.0,5.0,6.0,4.0,8.0,1.0,4.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2993410046.0,11866516.1,1498810000000.0,1523.658888888889,53856.0,514.0,786432.0,3.552134850476074e+16,7.072916666666667,0.019368489583333332,133.0,153589.33333333334
16000.0,256000.0,256.0,64.0,3.0,22.0,6.0,30.0,4.0,1.0,5.0,5.0,1.0,4.0,2.0,1.0,5.0,6.0,2.0,5.0,1.0,5.0,1.0,5.0,3.0,2.0,6.0,2.0,5.0,6.0,1.0,1.0,128.0,2.0,1.0,48.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,6.0,4.0,1.0,4.0,6.0,5.0,8.0,16.0,1.0,4.0,16.0,1.0,32.0,32.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,6.0,1.0,1.0,4.0,1.0,4.0,4.0,3.0,6.0,6.0,1.0,3.0,6.0,5.0,5.0,128.0,2.0,1.0,64.0,2.0,1.0,16.0,32.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,5.0,6.0,1.0,5.0,3.0,1.0,1.0,3.0,5.0,5.0,4.0,1.0,6.0,1.0,2.0,32.0,1.0,8.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,4.0,6.0,6.0,2.0,3.0,2.0,5.0,6.0,5.0,2.0,2.0,6.0,5.0,2.0,8.0,4.0,1.0,512.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,3.0,1.0,4.0,1.0,1.0,4.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0,2.0,8.0,16.0,1.0,4.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,2.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,1.0,3.0,5.0,6.0,4.0,64.0,64.0,1.0,1.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2087605633.0,14572017.059999999,9515320000.0,25.544473958333334,3960.0,514.0,212992.0,3.0420624898628096e+16,14.539351736111112,0.7872339878472222,133.0,32528.0
512.0,64000.0,256.0,64.0,1.0,28.0,28.0,4.0,6.0,4.0,6.0,4.0,3.0,4.0,6.0,6.0,5.0,6.0,2.0,1.0,1.0,1.0,5.0,6.0,2.0,5.0,2.0,6.0,1.0,5.0,4.0,6.0,4.0,256.0,1.0,1.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,1.0,5.0,3.0,1.0,5.0,3.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,128.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,1.0,4.0,5.0,5.0,6.0,5.0,2.0,6.0,4.0,2.0,4.0,2.0,5.0,5.0,32.0,4.0,1.0,2.0,16.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,1.0,1.0,2.0,6.0,2.0,2.0,4.0,2.0,6.0,3.0,3.0,5.0,5.0,6.0,16.0,512.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,6.0,2.0,6.0,2.0,1.0,6.0,6.0,4.0,1.0,1.0,6.0,3.0,6.0,4.0,4.0,8.0,1.0,1.0,512.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,3.0,4.0,1.0,4.0,3.0,4.0,5.0,5.0,1.0,3.0,6.0,2.0,4.0,8.0,2048.0,1.0,4.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,5.0,1.0,6.0,4.0,6.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,16.0,16.0,1.0,128.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1809842608.0,39056123.160000004,2290390.0,0.026150875,4.0,514.0,1288.0,7.068543579826361e+16,4.0,3.6170066319444447,133.0,335.5
4096.0,16000.0,256.0,64.0,3.0,36.0,36.0,26.0,6.0,2.0,5.0,6.0,4.0,6.0,5.0,3.0,1.0,3.0,1.0,2.0,5.0,6.0,5.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,4.0,6.0,64.0,4.0,1.0,192.0,192.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,4.0,3.0,5.0,2.0,6.0,1.0,6.0,4.0,4.0,1.0,3.0,4.0,1.0,4.0,5.0,8.0,4.0,1.0,8.0,8.0,1.0,128.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,6.0,5.0,2.0,5.0,2.0,6.0,3.0,2.0,2.0,1.0,2.0,16.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0,6.0,2.0,3.0,2.0,2.0,6.0,2.0,4.0,1.0,5.0,2.0,4.0,1.0,128.0,256.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,6.0,2.0,2.0,5.0,3.0,3.0,5.0,4.0,1.0,3.0,4.0,4.0,6.0,3.0,4.0,256.0,512.0,1.0,2048.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,4.0,5.0,3.0,6.0,4.0,2.0,6.0,5.0,4.0,2.0,6.0,3.0,2.0,6.0,2.0,16.0,1.0,4.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,2.0,4.0,3.0,5.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,4.0,3.0,4.0,64.0,128.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2938205504.0,11865490.360000001,591579000000.0,656.2339756944446,33696.0,514.0,2752512.0,3.4863249083410944e+16,17.572916666666668,1.2334856618055554,133.0,254940.44444444444
8192.0,512000.0,256.0,64.0,1.0,10.0,14.0,44.0,6.0,2.0,4.0,1.0,3.0,5.0,4.0,5.0,2.0,6.0,2.0,2.0,1.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,6.0,1.0,6.0,3.0,128.0,4.0,1.0,3.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,6.0,4.0,6.0,1.0,3.0,2.0,2.0,4.0,4.0,6.0,2.0,1.0,6.0,4.0,2.0,4.0,64.0,1.0,8.0,32.0,1.0,16.0,64.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,4.0,6.0,6.0,5.0,2.0,5.0,2.0,5.0,2.0,3.0,6.0,5.0,8.0,1.0,1.0,32.0,4.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,6.0,4.0,6.0,1.0,4.0,3.0,2.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,6.0,64.0,4.0,1.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0,6.0,4.0,5.0,3.0,5.0,4.0,4.0,2.0,1.0,5.0,5.0,16.0,16.0,1.0,512.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,2.0,6.0,3.0,4.0,1.0,6.0,1.0,5.0,2.0,6.0,1.0,4.0,5.0,6.0,1.0,1.0,256.0,1.0,128.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,1.0,5.0,1.0,6.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,512.0,64.0,1.0,1.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,169445200.0,13844112.72,18654900.0,0.22340700000000002,44.0,514.0,11608.0,2345818448662944.0,38.720272916666666,28.56225340277778,133.0,3035.5
64000.0,32000000.0,256.0,64.0,2.0,4.0,38.0,16.0,3.0,2.0,3.0,3.0,6.0,1.0,3.0,3.0,1.0,6.0,5.0,5.0,4.0,2.0,6.0,5.0,4.0,3.0,3.0,6.0,4.0,4.0,4.0,3.0,16.0,128.0,1.0,64.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,5.0,1.0,5.0,2.0,6.0,3.0,1.0,5.0,6.0,1.0,3.0,5.0,5.0,4.0,64.0,1.0,4.0,32.0,1.0,16.0,128.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,6.0,6.0,4.0,1.0,4.0,6.0,4.0,6.0,6.0,4.0,3.0,5.0,3.0,5.0,4.0,8.0,64.0,1.0,1.0,128.0,1.0,32.0,8.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,5.0,6.0,4.0,3.0,2.0,4.0,5.0,1.0,4.0,4.0,2.0,5.0,6.0,2.0,4.0,16.0,256.0,1.0,512.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,1.0,5.0,1.0,2.0,5.0,5.0,4.0,6.0,4.0,128.0,8.0,1.0,32.0,2048.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,4.0,3.0,1.0,5.0,2.0,1.0,2.0,4.0,6.0,4.0,2.0,1.0,2.0,2.0,6.0,1.0,256.0,128.0,1.0,256.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,5.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,6.0,6.0,1.0,2.0,3.0,5.0,6.0,8.0,64.0,1.0,32.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,630371750.0,14917058.900000002,422995000.0,3.0608398958333334,608.0,514.0,163840.0,9403292523646076.0,8.0,3.4853179131944447,133.0,12750.222222222223
512.0,1024000.0,256.0,64.0,1.0,26.0,14.0,26.0,6.0,5.0,5.0,2.0,2.0,5.0,1.0,6.0,1.0,6.0,6.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,6.0,1.0,4.0,32.0,128.0,1.0,24.0,384.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,2.0,4.0,3.0,1.0,5.0,2.0,1.0,5.0,4.0,1.0,6.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,16.0,16.0,1.0,64.0,32.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,3.0,6.0,2.0,5.0,6.0,5.0,6.0,2.0,1.0,5.0,6.0,4.0,6.0,5.0,4.0,2.0,16.0,1.0,4.0,4.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,3.0,1.0,6.0,6.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,3.0,16.0,512.0,1.0,64.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,5.0,1.0,3.0,1.0,4.0,3.0,6.0,5.0,6.0,1.0,5.0,6.0,256.0,64.0,1.0,2048.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,6.0,1.0,5.0,3.0,3.0,4.0,1.0,5.0,5.0,3.0,4.0,8.0,4.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,4.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,5.0,2.0,6.0,32.0,2.0,1.0,1024.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,282559688.0,14654214.24,11089000.0,0.13432075,26.0,514.0,6964.0,4140690203539557.0,24.019118402777778,22.809618333333333,133.0,1820.5
16000.0,32000.0,256.0,64.0,3.0,16.0,6.0,44.0,3.0,3.0,2.0,6.0,1.0,1.0,1.0,4.0,2.0,6.0,4.0,6.0,4.0,1.0,4.0,5.0,2.0,4.0,6.0,1.0,2.0,2.0,3.0,6.0,128.0,128.0,1.0,64.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,6.0,4.0,3.0,2.0,5.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,16.0,16.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,6.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,5.0,4.0,2.0,1.0,4.0,3.0,5.0,16.0,32.0,1.0,4.0,2.0,1.0,64.0,64.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,6.0,4.0,3.0,4.0,3.0,1.0,64.0,512.0,1.0,64.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,6.0,3.0,1.0,5.0,5.0,1.0,2.0,5.0,6.0,2.0,2.0,4.0,2.0,4.0,256.0,256.0,1.0,8.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,6.0,1.0,1.0,2.0,1.0,3.0,6.0,3.0,6.0,3.0,3.0,4.0,2.0,4.0,1.0,256.0,16.0,1.0,256.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,6.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,4.0,6.0,2.0,32.0,16.0,1.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,473542889.0,12133613.940000001,10717900000.0,27.784067708333332,4224.0,514.0,262144.0,5745786599158273.0,41.87656944444445,3.019607010416667,133.0,48735.11111111111
512000.0,4096000.0,256.0,64.0,1.0,2.0,40.0,32.0,3.0,4.0,6.0,4.0,6.0,1.0,3.0,2.0,6.0,2.0,3.0,6.0,1.0,2.0,3.0,3.0,5.0,6.0,3.0,6.0,5.0,6.0,4.0,5.0,32.0,4.0,1.0,96.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,6.0,1.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0,6.0,3.0,1.0,5.0,1.0,1.0,32.0,1.0,64.0,1.0,1.0,128.0,128.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,4.0,1.0,6.0,1.0,4.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,1.0,2.0,16.0,64.0,1.0,64.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,4.0,6.0,4.0,1.0,2.0,1.0,3.0,6.0,1.0,4.0,2.0,3.0,5.0,6.0,32.0,512.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,2.0,4.0,4.0,1.0,2.0,4.0,6.0,5.0,1.0,3.0,1.0,5.0,1.0,3.0,4.0,64.0,1.0,1024.0,1024.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,4.0,3.0,6.0,2.0,4.0,6.0,6.0,4.0,4.0,3.0,1.0,3.0,3.0,512.0,256.0,1.0,4.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,4.0,5.0,5.0,6.0,5.0,5.0,1.0,4.0,4.0,6.0,3.0,2.0,3.0,1.0,128.0,128.0,1.0,1024.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7019954464.0,65849569.0,13573500.0,0.15708399999999997,32.0,514.0,514.0,4.62260975854026e+17,24.25,24.71585197916667,133.0,226.0
