Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Transformer,MH_FC_DimReduce_VKQ_0,18240,50352163,14025.7,1.99919,142537,1.76561e+11,255286,0,0.0302734,0,1,0,20992,514,1,1,65536,786432,7.17707e+12,100663296,22294.8,32345,72.4224,200574,100663296, 65536, 65536, 65536, 1536, 100663296, 786432, 786432, 786432, 128, 100663296, 100663296, 196608, 1572864, 1, 3, 35, 3, 6, 6, 6, 49172, 49172, 49172, 2, 128
Transformer,SD_MatMul_QK_00,18240,4196,156195,249.899,1.59992e+06,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,6.71325e+09,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_00,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_01,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_01,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_02,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_02,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_03,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_03,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_04,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_04,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_05,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_05,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,MH_FC_DimRecast_0,18240,33562952,5566.27,0.999746,179608,1.76561e+11,255355,0,0,0,1,0,40960,514,1,1,65536,262144,6.02817e+12,33554432,22294.8,32345,141.312,200574,33554432, 65536, 65536, 65536, 512, 33554432, 262144, 262144, 262144, 128, 33554432, 33554432, 65536, 262144, 1, 8, 72, 10, 8, 8, 8, 262210, 262210, 262210, 1, 128
Transformer,FF_A_0,18240,8390368,66014,15.9966,242322,1.76561e+11,257136,0,0,0,1,0,557056,514,1,1,65536,1048576,2.03317e+12,134217728,22294.8,32345,1921.84,200574,134217728, 65536, 65536, 65536, 2048, 134217728, 1048576, 1048576, 1048576, 128, 134217728, 134217728, 262144, 1048576, 1, 512, 576, 544, 512, 512, 512, 1048724, 1048724, 1048724, 16, 128
Transformer,FF_B_0,18240,67112472,219378,1.99989,9116.17,1.76561e+11,260866,0,0,0,1,0,1638400,514,1,1,262144,1048576,6.11809e+11,134217728,22294.8,32345,5652.48,200574,134217728, 262144, 262144, 262144, 512, 134217728, 1048576, 1048576, 1048576, 128, 134217728, 134217728, 65536, 65536, 1, 2048, 3072, 2560, 128, 128, 128, 33554700, 33554700, 33554700, 2, 128
Transformer,MH_FC_DimReduce_VKQ_1,18240,50352163,221979,1.99919,9006.19,1.76561e+11,255286,0,0.0302734,0,1,0,20992,514,1,1,65536,786432,4.53481e+11,100663296,22294.8,32345,72.4224,200574,100663296, 65536, 65536, 65536, 1536, 100663296, 786432, 786432, 786432, 128, 100663296, 100663296, 196608, 1572864, 1, 3, 35, 3, 6, 6, 6, 49172, 49172, 49172, 2, 128
Transformer,SD_MatMul_QK_00,18240,4196,156195,249.899,1.59992e+06,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,6.71325e+09,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_00,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_01,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_01,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_02,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_02,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_03,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_03,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_04,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_04,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_05,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_05,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,MH_FC_DimRecast_0,18240,33562952,5566.27,0.999746,179608,1.76561e+11,255355,0,0,0,1,0,40960,514,1,1,65536,262144,6.02817e+12,33554432,22294.8,32345,141.312,200574,33554432, 65536, 65536, 65536, 512, 33554432, 262144, 262144, 262144, 128, 33554432, 33554432, 65536, 262144, 1, 8, 72, 10, 8, 8, 8, 262210, 262210, 262210, 1, 128
Transformer,FF_A_0,18240,8390368,66014,15.9966,242322,1.76561e+11,257136,0,0,0,1,0,557056,514,1,1,65536,1048576,2.03317e+12,134217728,22294.8,32345,1921.84,200574,134217728, 65536, 65536, 65536, 2048, 134217728, 1048576, 1048576, 1048576, 128, 134217728, 134217728, 262144, 1048576, 1, 512, 576, 544, 512, 512, 512, 1048724, 1048724, 1048724, 16, 128
Transformer,FF_B_0,18240,67112472,219378,1.99989,9116.17,1.76561e+11,260866,0,0,0,1,0,1638400,514,1,1,262144,1048576,6.11809e+11,134217728,22294.8,32345,5652.48,200574,134217728, 262144, 262144, 262144, 512, 134217728, 1048576, 1048576, 1048576, 128, 134217728, 134217728, 65536, 65536, 1, 2048, 3072, 2560, 128, 128, 128, 33554700, 33554700, 33554700, 2, 128
Transformer,MH_FC_DimReduce_VKQ_0,18240,50352163,221979,1.99919,9006.19,1.76561e+11,255286,0,0.0302734,0,1,0,20992,514,1,1,65536,786432,4.53481e+11,100663296,22294.8,32345,72.4224,200574,100663296, 65536, 65536, 65536, 1536, 100663296, 786432, 786432, 786432, 128, 100663296, 100663296, 196608, 1572864, 1, 3, 35, 3, 6, 6, 6, 49172, 49172, 49172, 2, 128
Transformer,SD_MatMul_QK_00,18240,4196,156195,249.899,1.59992e+06,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,6.71325e+09,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_00,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_01,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_01,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_02,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
Transformer,SD_MatMul_V_02,18240,66627,2497.04,15.738,6.30266e+06,1.7656e+11,223266,1,1.92188,1,1,1,5632,6,1,1,8192,16384,4.19927e+11,1048576,22294.8,377.568,19.4304,200574,1048576, 31232, 31232, 8192, 33.5738, 1048576, 16384, 16384, 16384, 64, 1048576, 1048576, 8192, 131072, 1, 1, 3, 2, 8, 8, 8, 1041, 1041, 1041, 16, 21.3333
Transformer,SD_MatMul_QK_03,18240,4196,1919.59,249.899,1.30183e+08,1.7656e+11,223416,7,7,7,1,7,49152,6,1,1,8192,8192,5.4625e+11,1048576,22294.8,377.568,169.574,200574,1048576, 8192, 8192, 8192, 128, 1048576, 8192, 8192, 8192, 128, 1048576, 1048576, 16384, 32768, 1, 32, 32, 32, 64, 64, 64, 2082, 2082, 2082, 256, 64
